date,reservoir,area_km2,pct_full,VV_mean_dB,max_surface_area_km2
2024-11-04,GERD,12.277010953799559,0.6547739175359766,-10.259227867743547,1875
2024-11-16,GERD,16.51908719511207,0.8810179837393104,-11.127952928442241,1875
2024-11-28,GERD,14.151682280591327,0.7547563882982041,-10.557218384688463,1875
2024-12-10,GERD,21.23398503327534,1.1324792017746848,-11.699551397981498,1875
2024-12-22,GERD,20.56935502821987,1.0970322681717264,-11.769341223408523,1875
2025-01-03,GERD,19.109861622891536,1.0191926198875485,-11.65923763007118,1875
2025-01-15,GERD,19.38821943327382,1.0340383697746038,-11.653590490026495,1875
2025-01-27,GERD,21.808922225894168,1.1631425187143556,-11.879276824595799,1875
2025-02-08,GERD,21.25194817059901,1.1334372357652804,-11.775194213528819,1875
2025-02-20,GERD,19.55215269250979,1.0427814769338555,-11.556799704198342,1875
2025-03-04,GERD,21.816879143605846,1.1635668876589784,-11.834628113903324,1875
2025-03-16,GERD,22.300781290187665,1.189375002143342,-11.870671561737732,1875
2025-03-28,GERD,22.712929475672258,1.2113562387025205,-11.929702176736425,1875
2025-04-09,GERD,15.911356750042815,0.8486056933356168,-10.851493032263932,1875
2025-04-21,GERD,20.315919069654846,1.0835156837149251,-11.629295758990168,1875
2025-05-03,GERD,21.17027074996631,1.1290811066648698,-11.751247921694329,1875
2025-05-15,GERD,14.216315401148714,0.7582034880612648,-10.617768231068224,1875
2025-05-27,GERD,11.099378637500418,0.591966860666689,-9.881920318919374,1875
2025-06-08,GERD,16.568848002610356,0.8836718934725523,-11.151663166004898,1875
2025-06-20,GERD,8.943562391796815,0.47698999422916344,-9.07311681320697,1875
2025-07-02,GERD,8.290843996754125,0.4421783464935533,-9.148759556315657,1875
2025-07-14,GERD,9.061556014441306,0.48328298743686965,-9.374704282662847,1875
2025-07-26,GERD,8.835919629953333,0.4712490469308444,-9.348204207979906,1875
2025-08-07,GERD,9.208647131431668,0.49112784700968903,-9.52595488774357,1875
2025-08-19,GERD,8.219839122201838,0.4383914198507647,-9.37533997308116,1875
2025-08-31,GERD,8.97627774618731,0.47873481312998994,-9.563557982285928,1875
2025-09-12,GERD,9.07870074792615,0.4841973732227281,-9.596086795270804,1875
2025-09-24,GERD,9.593544300182026,0.5116556960097081,-9.724737988632542,1875
2025-10-06,GERD,9.492596980145144,0.5062718389410744,-9.72839807779855,1875
2025-10-18,GERD,10.0182225793396,0.5343052042314453,-9.781602580549256,1875
2025-10-30,GERD,13.84317640455044,0.7383027415760235,-10.705365261823847,1875
2025-11-11,GERD,16.667555845470627,0.8889363117584334,-11.21340064745688,1875
2025-11-23,GERD,19.06313308961164,1.016700431445954,-11.43231073992471,1875
2025-12-17,GERD,22.0536144004291,1.1761927680228854,-11.775991075092433,1875
2025-12-29,GERD,21.70298986807616,1.157492792964062,-11.847957420597748,1875
2026-01-10,GERD,20.883759968764185,1.113800531667423,-11.82248561116263,1875
2026-01-22,GERD,17.057951444504084,0.9097574103735512,-11.341346442970345,1875
2026-02-03,GERD,21.07557399943312,1.1240306133030997,-11.777663000011774,1875
2026-02-15,GERD,22.997748216025226,1.2265465715213455,-11.962267397151594,1875
2015-05-01,HAD,196.9197235388002,3.7508518769295276,-11.305434287171426,5250
2015-08-05,HAD,203.08453967590125,3.868276946207643,-11.215209681382486,5250
2016-02-25,HAD,260.4091516214381,4.960174316598821,-12.89409806236507,5250
2016-05-31,HAD,236.19910644936337,4.499030599035493,-12.44887454733041,5250
2016-06-12,HAD,231.64866291941053,4.412355484179248,-12.359809422565258,5250
2016-07-06,HAD,247.12617102214074,4.707165162326491,-12.540452756625704,5250
2016-07-18,HAD,239.2075866523364,4.556334983854027,-12.19084227240481,5250
2016-07-30,HAD,242.11737014417739,4.611759431317664,-12.380115453528335,5250
2016-08-11,HAD,254.10878507759296,4.840167334811294,-12.524437718877017,5250
2016-08-23,HAD,260.51054528693487,4.962105624513045,-12.475433377202146,5250
2016-09-04,HAD,267.83333060139563,5.101587249550392,-12.829734585820862,5250
2016-09-16,HAD,260.7157342231513,4.966013985202881,-12.62522695367543,5250
2016-09-28,HAD,265.98308408859424,5.0663444588303665,-12.67961070899351,5250
2016-10-10,HAD,258.47221001355285,4.92328019073434,-12.851259797896915,5250
2016-10-22,HAD,267.89742662302376,5.1028081261528335,-13.002614478928875,5250
2016-11-03,HAD,272.3111064529885,5.186878218152162,-12.745191996551386,5250
2016-11-15,HAD,276.77725221116185,5.271947661164988,-13.12336087884097,5250
2016-11-27,HAD,275.7852908519025,5.253053159083858,-13.171179920439018,5250
2016-12-09,HAD,273.17549441435347,5.20334275074959,-12.867627193250485,5250
2016-12-21,HAD,273.9769128536925,5.218607863879857,-12.974566783488694,5250
2017-01-02,HAD,270.37995357885154,5.150094353882887,-12.739792051595368,5250
2017-01-14,HAD,274.74474587028845,5.233233254672161,-13.232645490329865,5250
2017-01-26,HAD,267.5301158493648,5.095811730464091,-12.588108828013649,5250
2017-02-07,HAD,257.0697243274988,4.896566177666644,-12.918870528778807,5250
2017-02-19,HAD,271.165907433372,5.165064903492801,-12.82296623458361,5250
2017-03-03,HAD,274.7096641740521,5.232565031886707,-13.057194074034172,5250
2017-03-15,HAD,262.12987833059304,4.992950063439867,-12.576974543942875,5250
2017-03-27,HAD,258.2770810769625,4.9195634490849995,-12.797732448564961,5250
2017-04-08,HAD,253.88169582908466,4.835841825315898,-12.699767607063293,5250
2017-04-20,HAD,255.31986831943738,4.863235587036902,-12.619384436656576,5250
2017-05-02,HAD,262.75982024474723,5.004948957042804,-12.772028595832195,5250
2017-05-14,HAD,258.1362693176194,4.916881320335607,-12.710345408874149,5250
2017-05-26,HAD,237.49604305380453,4.523734153405801,-12.20254716053105,5250
2017-06-07,HAD,233.23392160513643,4.442550887716885,-12.41891818385764,5250
2017-06-19,HAD,231.2696304593693,4.405135818273701,-12.208208406935144,5250
2017-07-01,HAD,233.69405891272967,4.451315407861518,-12.14723986906056,5250
2017-07-13,HAD,214.5051541050013,4.085812459142882,-11.829622975894047,5250
2017-07-25,HAD,230.28565507427234,4.38639342998614,-12.017289805344348,5250
2017-08-06,HAD,241.93454701963825,4.608277086088348,-12.329237857706177,5250
2017-08-18,HAD,246.11751930786903,4.687952748721315,-12.409567560574336,5250
2017-08-30,HAD,253.2076179317665,4.823002246319362,-12.468841241193571,5250
2017-09-11,HAD,247.51357061755914,4.714544202239222,-12.482576349600361,5250
2017-09-23,HAD,248.16724809839798,4.726995201874247,-12.27278621325635,5250
2017-10-05,HAD,251.47903637976538,4.790076883424103,-12.530688410756463,5250
2017-10-17,HAD,250.25754231732165,4.766810329853746,-12.608269585084058,5250
2017-10-29,HAD,260.9764759627866,4.970980494529269,-12.567940950342916,5250
2017-11-10,HAD,262.1973757403756,4.994235728388107,-12.7520697644277,5250
